book_id,book_title,genre,publisher,ISBN,cost,year
B0036,Did You Hear?,Poetry,Kyung's Dynasty,989-28-79-14379-4,11.99,1946
B0037,Lace and Brandy,Nonfiction,Cedar House Publishers,989-28-654-6033-1,15.99,1941
B0038,Muddy Waters,SciFi/Fantasy,Sound & Seas Co.,989-28-229-0197-6,9.5,1953
B0039,Saint Esme,SciFi/Fantasy,Palimpsest Printing,989-28-654-4370-9,15.99,1926
B0040,The Scent of Oranges,Fiction,Etaoin Shrdlu Press,989-28-79-13801-1,8.99,1941
B0041,The Seawitch Sings,SciFi/Fantasy,Chris & Co,989-28-3705-633-3,19.99,1960
B0042,Whither Thou Goest,Fiction,Kyung's Dynasty,989-28-3705-987-7,8.99,1940
B0043,Some Eggs or Something?,Nonfiction,Cedar House Publishers,989-28-79-13871-4,8.99,1987
B0044,Hashtag QuokkaSelfie,Fiction,Sound & Seas Co.,989-28-79-05638-4,27.99,1959
B0045,It's Never Just a Glass,SciFi/Fantasy,Palimpsest Printing,989-28-79-91028-0,12.5,1948
B0046,Banana Slug and the Mossy Rock,Romance,Etaoin Shrdlu Press,989-28-3705-966-2,10.99,1965
B0047,Heliotrope Pajamas,Poetry,Chris & Co,989-28-3705-607-4,11.99,1925
B0048,Inconvenient Confessions: a memoir,Young Adult,Kyung's Dynasty,989-28-229-5891-8,9.5,1913
B0049,Who Did You Think You Were Kidding?,Fiction,Cedar House Publishers,989-28-3705-592-3,6.99,1957
B0050,Natural Pamplemousse,Fiction,Sound & Seas Co.,989-28-79-82197-5,12.5,1987
B0051,We're Sisters and We Kinda Like Each Other,SciFi/Fantasy,Palimpsest Printing,989-28-79-22562-9,20.99,1962
B0052,Don't Check your Ego,Mystery,Etaoin Shrdlu Press,989-28-79-40897-8,21.5,1954
B0053,"Soft, Pliable Truth",Fiction,Chris & Co,989-28-79-23015-9,18.5,1943
B0054,She Also Tottered,Memoir,Kyung's Dynasty,989-28-3705-152-9,7.99,1917
B0055,The Spark and The Ashes,Romance,Cedar House Publishers,989-28-3705-583-1,6.99,1979
B0056,The Triscanipt,Memoir,Sound & Seas Co.,989-28-79-07610-8,27.99,1945
B0057,Adventures of Kaya,Mystery,Palimpsest Printing,989-28-3705-649-4,6.99,1941
B0058,The Deep Grey,Fiction,Etaoin Shrdlu Press,989-28-79-51397-9,21.5,1982
